Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Home,PASS,,1,10551,422.04,10599,423.96,5,7,0.79,0.36,0.74,0.64
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,7,,0.75,0.65,0.92,0.46
Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,15,,0.91,0.47,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,15,,0.91,0.47,0.83,0.52
Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,8,,0.83,0.51,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,8,,0.83,0.51,NaN,NaN
Home,PASS,HEAD,1,10708,428.32,10742,429.68,8,3,0.83,0.51,0.83,0.54
Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,22,,0.84,0.51,NaN,NaN
Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,3,,0.83,0.54,0.87,0.45
Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,15,,0.86,0.47,NaN,NaN
Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,15,,0.86,0.47,0.78,0.65
Home,CHALLENGE,AERIAL-FAULT-LOST,1,10801,432.04,10801,432.04,2,,0.76,0.65,NaN,NaN
Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,21,,0.76,0.65,NaN,NaN
Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,25,,NaN,NaN,NaN,NaN
Away,PASS,,1,11586,463.44,11619,464.76,25,17,0.78,0.55,0.7,0.79
Away,PASS,,1,11674,466.96,11701,468.04,17,22,0.65,0.83,0.57,0.97
Away,PASS,,1,11727,469.08,11763,470.52,22,20,0.58,0.94,0.54,0.73
Away,PASS,,1,11788,471.52,11812,472.48,20,19,0.53,0.71,0.5,0.52
Away,PASS,,1,11831,473.24,11861,474.44,19,24,0.5,0.55,0.39,0.4
Away,PASS,,1,11882,475.28,11918,476.72,24,18,0.39,0.41,0.32,0.1
Away,BALL LOST,CROSS-INTERCEPTION,1,11987,479.48,12032,481.28,18,,0.22,0.12,0.03,0.61
Home,RECOVERY,INTERCEPTION,1,12033,481.32,12033,481.32,1,,0.04,0.62,NaN,NaN
Home,BALL OUT,HEAD-CLEARANCE,1,12033,481.32,12047,481.88,1,,0.04,0.62,-0.05,0.71
Away,SET PIECE,CORNER KICK,1,12636,505.44,12636,505.44,21,,NaN,NaN,NaN,NaN
Away,BALL OUT,,1,12636,505.44,12702,508.08,21,,0.01,0.95,-0.03,0.34
Home,RECOVERY,,1,13543,541.72,13543,541.72,11,,0.04,0.44,NaN,NaN
Home,PASS,GOAL KICK,1,13543,541.72,13625,545,11,5,0.04,0.44,0.5,0.86
Home,PASS,,1,13625,545,13641,545.64,5,1,0.5,0.86,0.42,0.84
Home,BALL LOST,INTERCEPTION,1,13672,546.88,13701,548.04,1,,0.41,0.85,0.63,0.86
Away,RECOVERY,INTERCEPTION,1,13701,548.04,13701,548.04,17,,0.57,0.86,NaN,NaN
Away,BALL LOST,,1,13701,548.04,13736,549.44,17,,0.57,0.86,0.48,0.82
